ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13361432,JH141677,02/05/2024 12:00:00 AM,077XX S GREEN ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0621,006,17,71,08B,1171977,1853575,2024,02/13/2024 03:40:24 PM,41.753659288,-87.64533412,"(41.753659288, -87.64533412)"
13359332,JH141387,02/05/2024 12:00:00 AM,064XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,false,false,0725,007,15,67,11,1166778,1861957,2024,02/12/2024 03:40:54 PM,41.776773122,-87.664147651,"(41.776773122, -87.664147651)"
13361311,JH143649,02/05/2024 12:00:00 AM,135XX S AVENUE O,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0433,004,10,55,07,1201081,1815536,2024,02/12/2024 03:40:54 PM,41.648588776,-87.539964437,"(41.648588776, -87.539964437)"
13359485,JH140864,02/05/2024 12:00:00 AM,044XX N ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1911,019,47,4,14,1159242,1929326,2024,02/12/2024 03:40:54 PM,41.961797866,-87.689923331,"(41.961797866, -87.689923331)"
13359512,JH141272,02/05/2024 12:00:00 AM,071XX S EAST END AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,false,true,0324,003,7,43,20,1188768,1858022,2024,02/12/2024 03:40:54 PM,41.76547731,-87.583659765,"(41.76547731, -87.583659765)"
13359110,JH141183,02/05/2024 12:00:00 AM,044XX N ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1911,019,47,4,14,1159242,1929326,2024,02/12/2024 03:40:54 PM,41.961797866,-87.689923331,"(41.961797866, -87.689923331)"
13360040,JH141921,02/05/2024 12:00:00 AM,049XX S WABASH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,SCHOOL - PUBLIC GROUNDS,false,false,0224,002,3,38,08A,1177550,1872274,2024,02/12/2024 03:40:54 PM,41.804847176,-87.624346184,"(41.804847176, -87.624346184)"
13359429,JH141308,02/05/2024 12:00:00 AM,026XX W 105TH ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARK PROPERTY,false,false,2211,022,19,72,14,1160691,1834912,2024,02/12/2024 03:40:54 PM,41.702685181,-87.687206859,"(41.702685181, -87.687206859)"
13359658,JH141625,02/05/2024 12:00:00 AM,003XX S KILPATRICK AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1131,011,28,25,06,1145109,1898064,2024,02/12/2024 03:40:54 PM,41.876291236,-87.742676339,"(41.876291236, -87.742676339)"
13359077,JH141039,02/05/2024 12:00:00 AM,016XX W JARVIS AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,false,true,2422,024,49,1,04A,1164246,1949110,2024,02/12/2024 03:40:54 PM,42.015981178,-87.67096325,"(42.015981178, -87.67096325)"
13359891,JH141948,02/05/2024 12:00:00 AM,072XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,STREET,false,false,2423,024,49,1,06,1166254,1948079,2024,02/12/2024 03:40:54 PM,42.013109225,-87.663604147,"(42.013109225, -87.663604147)"
13359347,JH141362,02/05/2024 12:00:00 AM,002XX S FRANKLIN ST,0810,THEFT,OVER $500,RESTAURANT,false,false,0122,001,42,32,06,1174370,1899074,2024,02/12/2024 03:40:54 PM,41.87845992,-87.635210027,"(41.87845992, -87.635210027)"
13359165,JH141269,02/05/2024 12:00:00 AM,025XX W MONTROSE AVE,500N,OTHER OFFENSE,ABUSE / NEGLECT - CARE FACILITY,NURSING / RETIREMENT HOME,false,false,1911,019,47,4,26,1158438,1929133,2024,02/12/2024 03:40:54 PM,41.961284792,-87.692884601,"(41.961284792, -87.692884601)"
13360192,JH142204,02/05/2024 12:00:00 AM,008XX E 82ND ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0631,006,8,44,05,1183095,1850803,2024,02/12/2024 03:40:54 PM,41.745801428,-87.604676964,"(41.745801428, -87.604676964)"
13358646,JH140328,02/05/2024 12:00:00 AM,067XX S STEWART AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0722,007,6,68,03,1174787,1860292,2024,02/12/2024 03:40:54 PM,41.772029402,-87.634836623,"(41.772029402, -87.634836623)"
13361956,JH141597,02/05/2024 12:00:00 AM,019XX W CRYSTAL ST,0810,THEFT,OVER $500,STREET,false,false,1424,014,1,24,06,1163201,1908345,2024,02/12/2024 03:40:54 PM,41.904142261,-87.675959266,"(41.904142261, -87.675959266)"
13358793,JH140702,02/05/2024 12:00:00 AM,072XX S SOUTH CHICAGO AVE,0810,THEFT,OVER $500,GAS STATION,false,false,0323,003,5,69,06,1183429,1857513,2024,02/12/2024 03:40:54 PM,41.764206589,-87.603244488,"(41.764206589, -87.603244488)"
13360198,JH141913,02/05/2024 12:00:00 AM,079XX S HARVARD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0623,006,6,44,05,1175336,1852198,2024,02/12/2024 03:40:54 PM,41.749806262,-87.633065697,"(41.749806262, -87.633065697)"
13361931,JH144255,02/05/2024 12:00:00 AM,041XX S PRAIRIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,0213,002,3,38,11,1178727,1877604,2024,02/12/2024 03:40:54 PM,41.819446427,-87.619867204,"(41.819446427, -87.619867204)"
13367154,JH150584,02/05/2024 12:00:00 AM,008XX W 50TH PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,0933,009,20,61,05,1171558,1871363,2024,02/15/2024 03:40:11 PM,41.802480829,-87.646348842,"(41.802480829, -87.646348842)"
13361476,JH143809,02/05/2024 12:00:00 AM,079XX S SOUTH SHORE DR,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0422,004,7,46,08B,1198534,1852883,2024,02/13/2024 03:40:24 PM,41.75113641,-87.548036989,"(41.75113641, -87.548036989)"
13365630,JH148769,02/05/2024 12:00:00 AM,042XX N RICHMOND ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,false,false,1724,017,33,16,08B,1155956,1927997,2024,02/13/2024 03:40:24 PM,41.958218081,-87.702040567,"(41.958218081, -87.702040567)"
